productores_sociedad_matricula,productores_sociedad_tipo_id,productores_sociedad_id,productores_sociedad_denominacion,ramo
749,CUIT,30700915847,MC LEAN Y ASOCIADOS S.A. ,Patrimoniales y Vida
751,CUIT,30684362522,M.BERTOLACCINI S.A. ,Patrimoniales y Vida
754,CUIT,30654813783,CUMPLIENDO S.A. ,Patrimoniales y Vida
755,CUIT,30701832724,SEGPOOL COMERCIALIZACION BY NET S.A. ,Patrimoniales y Vida
759,CUIT,30691490692,HORACIO MORRONE Y ASOCIADOS S.R.L. ,Articulo 19
760,CUIT,30703079284,BROKER DE ARGENTINA S.A. ,Patrimoniales y Vida
768,CUIT,30707004955,CENTRO ATENCION CORDOBA S.R.L. ,Patrimoniales y Vida
769,CUIT,30703566851,AGRARIA PRODUCTORES Y ASESORES S.A. ,Patrimoniales y Vida
770,CUIT,30701293424,PLATE ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
773,CUIT,33705180259,ALL RISK ASESORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
775,CUIT,30707039619,CONSULGROUP S.A. ,Patrimoniales y Vida
777,CUIT,30707055118,SCRUM BROKERS S.R.L. ,Patrimoniales y Vida
780,CUIT,30695666264,ORGANIZACION DE PRODUCTORES ASESORES DE SEGUROS JUFER S.R.L. ,Articulo 19
781,CUIT,30707108084,ESTUDIO DE CREDITOS Y CAUCIONES S.A. ,Patrimoniales y Vida
782,CUIT,30707210792,R & S CONSULTORA DE RIESGOS S.R.L. ,Patrimoniales y Vida
784,CUIT,30707139591,LATIN PRODUCTORES ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
788,CUIT,30695122787,NORDEN BROKERS S.A. ,Patrimoniales y Vida
789,CUIT,30707111212,AGIL PRO S.A. RED DE ORGANIZADORES DE SEGUROS ,Patrimoniales y Vida
790,CUIT,30707264485,RISK SOLUTIONS S.A. ,Patrimoniales y Vida
797,CUIT,30707321578,GRUPO GENESIS ASESORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
798,CUIT,30708059265,EURO SECURITY S.A. ,Patrimoniales y Vida
799,CUIT,33707244289,PORTA & PORTA S.C. ,Patrimoniales y Vida
802,CUIT,30707388117,QUANTUM BROKERS S.A. ,Patrimoniales y Vida
803,CUIT,30707445129,UNE GROUP S.A. ,Patrimoniales y Vida
809,CUIT,30707440844,LEWITAN Y ASOCIADOS S.A. ,Patrimoniales y Vida
810,CUIT,30707448438,CARLOS A. MARTIN S.R.L. ,Patrimoniales y Vida
812,CUIT,30707492976,ROS BROKERS P.A.S. PATAGONICOS S.A. ,Patrimoniales y Vida
815,CUIT,30707463917,BROKERS GROUP PRODUCTORES ASESORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
818,CUIT,30698002898,EXPERTISE BROKERS ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
821,CUIT,30707716882,ALLARIA BROKER SOCIEDAD DE PRODUCTORES ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
824,CUIT,30707760768,BMC PRODUCTORES DE SEGUROS S.A. ,Patrimoniales y Vida
827,CUIT,30707867740,AXIOMA CONSULTORES S.A. ,Patrimoniales y Vida
829,CUIT,30708265094,CONSULTORA DE RIESGOS S.R.L. ,Patrimoniales y Vida
830,CUIT,30707880550,MAKE A TEAM S.R.L. ,Patrimoniales y Vida
832,CUIT,30707893261,MAJOSEG ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
835,CUIT,30707966978,ORGANIZACION SAN LORENZO S.R.L ,Patrimoniales y Vida
839,CUIT,30708028734,DDN BROKERS S.A. ,Patrimoniales y Vida
841,CUIT,30708364793,BACHELLIER S.A. ,Patrimoniales y Vida
842,CUIT,30708142855,SUDAMERICAN BROKERS S.A. ,Patrimoniales y Vida
844,CUIT,30708198397,PRIMA PRODUCTORA ASESORA DE SEGUROS S.A. ,Patrimoniales y Vida
845,CUIT,30708099119,GALICIA BROKER ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
846,CUIT,30708200510,PAWA PRODUCTORES DE SEGUROS ESCOLARES S.R.L. ,Patrimoniales y Vida
847,CUIT,30708212144,COBERTURAS & SERVICIOS S.A. ,Patrimoniales y Vida
850,CUIT,30708164581,ROMAG Y ASOCIADOS S.A. ,Patrimoniales y Vida
851,CUIT,30708245786,ALVAREZ AMUCHASTEGUI S.A. ,Patrimoniales y Vida
853,CUIT,30708160586,GRUPO ELIZALDE S.A. ,Patrimoniales y Vida
854,CUIT,30708324996,ALBROKER S.A. ,Patrimoniales y Vida
855,CUIT,30708402865,SEGUCOM S.A. ,Patrimoniales y Vida
856,CUIT,30708372567,RC BROKERS ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
858,CUIT,30708380667,WG S.A. ,Patrimoniales y Vida
861,CUIT,30708059249,KRAMP S.A. ,Patrimoniales y Vida
862,CUIT,30708440147,SMSV ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
863,CUIT,33708648499,WALSH BOTTA Y ASOCIADOS P.A.S. S.R.L.EGURO ,Patrimoniales y Vida
864,CUIT,30707944389,GONZALEZ - SANTOIANNI ASOCIADOS S.R.L.  ,Patrimoniales y Vida
865,CUIT,30708480467,FIRST BROKER ASESORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
866,CUIT,33611895289,ORGANIZACION NELDO RAFFO S.A. ,Articulo 19
867,CUIT,30708321172,VALIANT BROKERS S.A. ,Patrimoniales y Vida
868,CUIT,33707875629,A. GARCIA CARRERA E HIJOS ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
869,CUIT,30708410728,ROCA S.R.L. ,Patrimoniales y Vida
870,CUIT,30708576502,PATAGONIA BROKER S.A. ,Patrimoniales y Vida
871,CUIT,30708502525,ABC BROKER S.A.S. ,Patrimoniales y Vida
873,CUIT,30708644826,D.S.L. BROKER S.R.L. ,Patrimoniales y Vida
874,CUIT,30708443847,A. Y D. ASESORES S.R.L. ,Patrimoniales y Vida
875,CUIT,30708586052,GRUPO R. B. PRODUCTORES ASESORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
876,CUIT,30708286571,V. N. G. S.R.L. ,Patrimoniales y Vida
877,CUIT,30708694394,MEGAPRO S.A. ,Patrimoniales y Vida
878,CUIT,30708594063,SMURRA S.A. PRODUCTORES ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
879,CUIT,33708645759,LOCKTON SOCIEDAD DE PRODUCTORES ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
880,CUIT,30708540443,ORGANIZACION RIO CUARTO S.R.L. ,Patrimoniales y Vida
882,CUIT,33708200609,NATIONAL BUSINESS & SERVICES S.A. ,Patrimoniales y Vida
884,CUIT,30708628626,RODOLFO B ESPELUSE Y CIA SC ,Patrimoniales y Vida
885,CUIT,30708833912,ARCONSULTORA S.A. ,Patrimoniales y Vida
886,CUIT,30708822457,TRUST RISK MANAGEMENT S.A. ,Patrimoniales y Vida
887,CUIT,30708776145,ING TERZIAN Y ASOCIADOS S.A. ,Patrimoniales y Vida
890,CUIT,30708824212,ALLIANCE ARGENTINA S.R.L. ,Patrimoniales y Vida
892,CUIT,30708833262,PRODUCTORES ASESORES DE SEGUROS J.C.A. S.R.L. ,Patrimoniales y Vida
894,CUIT,30612093748,VISTALBA S.A. ,Patrimoniales y Vida
895,CUIT,30708662247,COHESION S.A. ,Patrimoniales y Vida
896,CUIT,30708973544,AGENCIA NUÑEZ S.A. ,Patrimoniales y Vida
898,CUIT,30709010219,PROASEG ASESORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
900,CUIT,30709042412,ROMASANTA Y ASOCIADOS S.A. ,Patrimoniales y Vida
903,CUIT,30709054216,ORGANIZACION B.A. S.A. ,Patrimoniales y Vida
904,CUIT,30694681200,S.P. RISK SERVICE S.A. ,Patrimoniales y Vida
905,CUIT,33709388679,CH PLUS ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
906,CUIT,30708880678,T.G. BROKER S.A. ,Patrimoniales y Vida
907,CUIT,30708910828,OAS S.R.L. ,Patrimoniales y Vida
909,CUIT,30708979259,ABALSE S.R.L. ,Articulo 19
912,CUIT,30709156337,ORGANIZACION CORRAL S.A. ,Articulo 19
913,CUIT,30709169633,LATINAMERICAN BROKERS S.R.L. ,Patrimoniales y Vida
914,CUIT,30709172154,ORGANIZACION BOFFELLI SRL ,Patrimoniales y Vida
915,CUIT,30709302481,COVER GROUP ASESORES DE SEGUROS ,Patrimoniales y Vida
916,CUIT,30709283134,G.M. ADVISORS S.A. ,Patrimoniales y Vida
917,CUIT,30708965657,BROKERAGE S.A ,Patrimoniales y Vida
918,CUIT,30708966750,URTUBEY BOCCALINI S.R.L. ,Articulo 19
919,CUIT,30709058998,FINANCIAL BENEFIT S.A. ,Patrimoniales y Vida
920,CUIT,30709329428,J.P.B.BROKERS S.A. ,Patrimoniales y Vida
921,CUIT,30709342017,GRUPO A BROKER S.A. ,Patrimoniales y Vida
922,CUIT,30709413585,NACORA S.A. ,Patrimoniales y Vida
923,CUIT,30709372676,GRUPO MESOPOTAMICO S.R.L. ,Patrimoniales y Vida
924,CUIT,30712016651,BROKER ASESORES DE SEGUROS VACS Y ASOCIADOS S.R.L. ,Patrimoniales y Vida
